voxel_id,n_points,linearity,planarity,scattering,omnivariance,sum_ev,anisotropy,eigentropy,change_curvature,z_range,plane_std,label,scattering_log2,plane_std_log2,pred_label
37400,40,0.8281643409877137,0.14969717641181646,0.022138482600469803,0.04549862623209471,0.3479948557694278,0.9778615173995303,0.5418210915507029,0.01854184427358396,0.46999999999999886,0.040631909401514496,unlabeled,-5.497234683032792,-4.621207521517248,tree
37426,20,0.2929530821638907,0.7019308151639615,0.005116102672147824,0.008909826369131136,0.09937684209104383,0.9948838973278522,0.2986782245752121,0.0029880931960725946,0.09999999999999787,0.016795829910667564,unlabeled,-7.610457104057445,-5.895667212943954,building
37427,133,0.20830561272149237,0.7916943872785076,0.0,0.0,0.7238492820603193,1.0,,0.0,1.6000000000000014,0.10035383535680466,unlabeled,-19.931568569324174,-3.3168179637152755,building
37428,36,0.9401064350623028,0.05989356493769702,0.0,0.0,0.38125888037861533,1.0,,0.0,0.46000000000000085,0.023255596361528998,unlabeled,-19.931568569324174,-5.426216218141957,building
37455,148,0.2671849758805164,0.7221105721463246,0.010704451973159083,0.09230006072476127,0.8099207437027415,0.9892955480268409,0.7493695932115421,0.006139565470842092,1.6400000000000006,0.015400604290395933,unlabeled,-6.545510483666399,-6.020775554357765,building
37456,28,0.9557935412437717,0.042667410218385056,0.0015390485378432267,0.015109993694514112,0.38705939155165064,0.9984609514621567,0.43942175414070506,0.0014717237866272129,0.28999999999999915,0.023437151442438096,unlabeled,-9.342808463480734,-5.414997400304387,building
37482,112,0.3594683700225445,0.605743744028865,0.034787885948590565,0.14741728793028244,0.8776537081717538,0.9652121140514094,0.7780918520718093,0.020764926103878926,1.7000000000000028,0.03038468486776811,unlabeled,-4.845229709787253,-5.040464380393063,building
37483,21,0.9225378192080588,0.07661877275099617,0.00084340804094508,0.012058067718011533,0.32283238093550903,0.9991565919590549,0.4504498130280291,0.000782160502254236,0.28000000000000114,0.01550750160434732,unlabeled,-10.20977206261668,-6.010796886534482,terrain
37508,77,0.7118572708425466,0.2881427291574534,0.0,0.0,0.4077547412317717,1.0,,0.0,0.3200000000000003,0.017616898761033117,unlabeled,-19.931568569324174,-5.826814321578049,building
37509,66,0.889647459040277,0.11035254095972291,0.0,0.0,0.3726538938358702,1.0,,0.0,0.3400000000000034,0.09438610843410833,unlabeled,-19.931568569324174,-3.4052663626901385,building
37533,29,0.9512986261673512,0.01625111217288546,0.03245026165976339,0.047890393048021285,0.44451034483615887,0.9675497383402366,0.5013323877439229,0.030014533201888807,0.6999999999999993,0.11349761868213395,unlabeled,-4.945581620490211,-3.1392533553673116,tree
