voxel_id,n_points,linearity,planarity,scattering,omnivariance,sum_ev,anisotropy,eigentropy,change_curvature,z_range,plane_std,label
1028,10,0.9922487645533605,0.0070858130133142645,0.000665422433325215,0.0037292683501347463,0.21765777776113363,0.9993345775666749,0.34289709448583316,0.0006598685455317247,0.060000000000002274,0.011369387367594335,unlabeled
1055,13,0.9948365481195137,0.004835097307554654,0.00032835457293167015,0.0051228884687722865,0.4319820513859004,0.9996716454270683,0.37777284012290435,0.00032656116223348067,0.08999999999999986,0.011411272189742113,unlabeled
1082,16,0.9896908232268299,0.009901621793350848,0.0004075549798192612,0.00573350353515864,0.3591254167295044,0.9995924450201807,0.3894902736464458,0.00040323363313912584,0.08999999999999986,0.011651640704626234,unlabeled
1109,15,0.9862115194895994,0.012832092705600076,0.0009563878048005403,0.005502237662965724,0.2363266666121442,0.9990436121951994,0.359675115765502,0.0009424909005831662,0.05999999999999872,0.014418276039900977,unlabeled
1136,18,0.983353529591055,0.016236663738725926,0.0004098066702189576,0.0061562673684952786,0.3301379085227963,0.999590193329781,0.39462483793770786,0.00040293411432046035,0.05999999999999872,0.011208640118084905,unlabeled
1163,21,0.9772900662950139,0.02222833327251106,0.00048160043247500085,0.005782872379890077,0.266562857136557,0.999518399567525,0.3818979234673474,0.00047068453599059985,0.05000000000000071,0.010931257702859376,unlabeled
1190,21,0.9779017535834742,0.02162791134347856,0.0004703350730472952,0.006595016238317179,0.30902000002966307,0.9995296649269527,0.39634164947538664,0.00045995455127533766,0.03999999999999915,0.011634724523387787,unlabeled
1217,24,0.9798110970618147,0.019832475025946386,0.0003564279122389528,0.007543616141376973,0.39876503618070563,0.999643572087761,0.4066192623283432,0.00034925240600722766,0.05000000000000071,0.01155278088739784,unlabeled
1220,17,0.9202341381383586,0.06524497026066874,0.014520891600972623,0.016231620775772962,0.1691308823119133,0.9854791083990273,0.356471502311558,0.013269731681412267,0.19000000000000483,0.04595979244132415,unlabeled
1245,15,0.8593630204315019,0.06592335965136217,0.074713619917136,0.026468190081309413,0.14686761915076346,0.925286380082864,0.3671273034108052,0.06147495212390285,0.6099999999999994,0.09179742837701182,unlabeled
1247,26,0.29065357146594123,0.6705334226256838,0.0388130059083749,0.08629362687429551,0.4995909231385655,0.9611869940916251,0.7314057529767364,0.022202211734053942,1.8200000000000003,0.10327345819150922,unlabeled
1248,24,0.5114388176083209,0.43326891402245793,0.055292268369221236,0.06992119904926679,0.3597663043493512,0.9447077316307788,0.6428820876531012,0.035814453983290966,1.8500000000000014,0.11112140063333828,unlabeled
1249,20,0.5687471758444457,0.28185579748730905,0.14939702666824528,0.043830492272775905,0.1728173684148155,0.8506029733317547,0.45321597956431825,0.09451620584431325,1.1400000000000006,0.12456861509953288,unlabeled
1271,21,0.9575655443567811,0.041401603024839126,0.0010328526183798177,0.008267248020383125,0.24467380955425636,0.9989671473816202,0.38797500896714027,0.0009898274820900092,0.0799999999999983,0.015187239657610051,unlabeled
1298,29,0.9662006724758377,0.032920386410885724,0.0008789411132765727,0.010562605388596515,0.3528746305810952,0.9991210588867234,0.42075441875945396,0.0008494825299018261,0.07000000000000028,0.01701247346595888,unlabeled
1325,23,0.9747115239932537,0.02502008894859041,0.00026838705815588986,0.007144878039190688,0.3870138339627796,0.9997316129418441,0.4130835127399969,0.00026169885632066123,0.0400000000000027,0.00984263951346368,unlabeled
1352,13,0.9691715166214567,0.03069557702557272,0.00013290635297052915,0.006007476439056538,0.38705128193942606,0.9998670936470295,0.41990470215443915,0.00012891496645198424,0.020000000000003126,0.0067866409284815885,unlabeled
1353,23,0.9548367244687982,0.04495798950583795,0.00020528602536380158,0.006849392448601874,0.34083162051066523,0.9997947139746363,0.42816098400463914,0.0001963766970934427,0.030000000000001137,0.008001332861268314,unlabeled
1379,12,0.9585536284719158,0.04135174549642291,9.462603166120145e-05,0.005780612247105762,0.38178409082209097,0.9999053739683389,0.4318434038686681,9.085195098695429e-05,0.020000000000003126,0.005638736003304221,unlabeled
1380,24,0.9615732125281435,0.03813096067836086,0.0002958267934954787,0.007815817602268077,0.36106340575779194,0.9997041732065045,0.42590026557821453,0.0002847986454061227,0.030000000000001137,0.00992702222101386,unlabeled
1407,30,0.9478304754390862,0.05201046748199595,0.00015905707891777243,0.007179757770106735,0.3731967600577827,0.9998409429210823,0.44200883785457823,0.00015114773246006075,0.05000000000000071,0.007329393231406297,unlabeled
1434,38,0.946978465336703,0.05243332928304046,0.0005882053802565475,0.010489734574161344,0.3511159139410223,0.9994117946197435,0.43918184350635253,0.000558276331264964,0.07000000000000028,0.013844901611325773,unlabeled
1461,39,0.9324118031673688,0.0669152921931839,0.0006729046394472038,0.01270019522187049,0.3800840840089412,0.9993270953605529,0.459317844357536,0.0006299065261478979,0.08999999999999986,0.015304874078650468,unlabeled
1488,43,0.8388863597945101,0.09731567945722186,0.06379796074826813,0.07293040695621722,0.41086613718254633,0.9362020392517318,0.6063650094858936,0.052083726448988524,1.5500000000000007,0.14366499548138192,unlabeled
1489,11,0.6679267452842316,0.29442588815810256,0.037647366557665894,0.008112632868270374,0.04787818182925525,0.9623526334423341,0.17768094835267847,0.027485434601010095,0.26000000000000156,0.03458786758241321,unlabeled
1491,16,0.3624279934036378,0.52885149440835,0.10872051218801217,0.04152630648497954,0.17653333331073834,0.8912794878119878,0.4579656983476154,0.06225790411316339,0.9199999999999946,0.10150705955913603,unlabeled
1492,10,0.6215155172207022,0.29454690009408585,0.08393758268521194,0.02903871826435734,0.13408555547948864,0.9160624173147881,0.37316443209320765,0.05739627749568372,0.6300000000000026,0.08322505979872917,unlabeled
1515,18,0.9489312938402688,0.05015289757923963,0.0009158085804916808,0.02129152030634507,0.6216741830521946,0.9990841914195083,0.42056827623504117,0.0008705532901478409,0.10000000000000142,0.022608268635307502,unlabeled
1517,29,0.7866747535791434,0.11416148752298136,0.09916375889787517,0.07353838127922972,0.3489886700364684,0.9008362411021248,0.6108527668688941,0.07555397302074444,1.0800000000000054,0.1595564386134417,unlabeled
1518,26,0.9122614709445546,0.05111573050454545,0.03662279855090004,0.1283396054821799,0.9778809231233813,0.9633772014490999,0.4275187035778841,0.032572090173953565,1.9600000000000009,0.1750044659078547,unlabeled
1544,37,0.808940157533789,0.07962668916656067,0.11143315329965028,0.08130619049266531,0.3820947447446898,0.8885668467003497,0.6330901191863922,0.08555374475094815,1.0,0.17974242321112582,unlabeled
1545,20,0.8910794232604504,0.07285679316451585,0.03606378357503373,0.05958363273140615,0.43238052626169343,0.9639362164249663,0.5575119943709523,0.03149718443763306,0.4200000000000017,0.11374458547419013,unlabeled
1571,34,0.9023408946899505,0.03534327322763758,0.06231583208241191,0.1052979196360085,0.6690080603836001,0.937684167917588,0.5989728220762797,0.053721705593478886,1.7700000000000031,0.1892699847025056,unlabeled
1596,50,0.9045471184287622,0.09338596605454719,0.002066915516690621,0.018557501268074792,0.3498602525505704,0.9979330844833093,0.475538001550809,0.0018832603495397623,0.18999999999999773,0.025539834897515858,unlabeled
1623,42,0.8874600111296475,0.11227208403919242,0.00026790483116010777,0.010818150655477195,0.3867919425096395,0.9997320951688399,0.49495884871663914,0.0002407467027116251,0.07000000000000028,0.009573453312560072,unlabeled
1650,57,0.8828574293114404,0.11644215464088413,0.0007004160476755671,0.013972371848324528,0.3594407640189923,0.9992995839523244,0.49023167021718844,0.0006265782010410702,0.08999999999999986,0.014899855882768617,unlabeled
1677,48,0.7742383022892244,0.1911869519415158,0.034574745769259896,0.07408605929026271,0.47070979609920766,0.9654252542307401,0.6325332089726405,0.027432949311369796,0.7299999999999969,0.11259782716091093,unlabeled
1704,62,0.8717029096943915,0.03455187706737538,0.0937452132382332,0.09060006561311376,0.48323618786275424,0.9062547867617669,0.6402600591148621,0.07671192148289654,1.2199999999999989,0.19130940828630355,unlabeled
1731,55,0.8574322425798697,0.01657782061428165,0.1259899368058486,0.10474386251970721,0.507364118266398,0.8740100631941513,0.6804101575386661,0.0993174668990695,1.7399999999999984,0.2197384423295098,unlabeled
